source,text,rating
review,The mobile app keeps losing my data when I sync between devices. This is unacceptable.,1
survey,"Search results ordering makes no sense, newest should come first. Otherwise loving it.",4
review,The mobile app keeps losing my data when I sync between devices. Please fix this!,1
survey,Got charged twice this month and can't find where to see my invoices. Make pricing simpler.,2
review,"Search results ordering makes no sense, newest should come first. Otherwise loving it.",3
review,"Loads instantly even with hundreds of tasks, very impressed. Solid app.",5
review,"My tasks vanish after syncing, this is the third time. Please fix this!",2
survey,"Search is too basic, no fuzzy matching so typos return nothing. Would make it perfect.",4
review,Using this for my book club.,
review,Sync failed again and I lost my notes from yesterday. Really frustrating.,1
review,Please add global search across all workspaces. This is my top request.,3
survey,"I want notifications for mentions only, not everything. Needs work.",2
review,"Smooth and reliable on my old phone, well optimized. No complaints.",4
survey,Love how the onboarding walks you through creating your first project. Well done team.,5
review,"The setup wizard was so easy, I had everything running in five minutes. Best onboarding I've seen.",5
ticket,"Sync conflict destroyed my shopping list, no way to recover it. Really frustrating.",1
ticket,Why did my price go up without any notice? Very confusing.,2
review,"Search is too basic, no fuzzy matching so typos return nothing. Happy to beta test.",4
review,Push notifications are annoying and there's no granular mute option. Please add settings for this.,3
ticket,"I want notifications for mentions only, not everything. Otherwise good product.",3
survey,Signed up yesterday and I'm already fully set up. Great first experience. Impressed so far.,5
review,"Smooth and reliable on my old phone, well optimized. Recommending to friends.",5
survey,"The setup wizard was so easy, I had everything running in five minutes. Impressed so far.",5
review,How do I contact support?,
ticket,"Way too many notifications, I get pinged for every tiny update. Needs work.",4
survey,"Getting started was seamless, the tutorial is excellent. Best onboarding I've seen.",5
review,"The setup wizard was so easy, I had everything running in five minutes. Well done team.",4
review,Performance is excellent compared to the competitors I tried. Recommending to friends.,5
review,"Would love filters in search — by date, by person, by tag. This is my top request.",3
review,"Loads instantly even with hundreds of tasks, very impressed. Recommending to friends.",4
survey,First!,4
ticket,"My tasks vanish after syncing, this is the third time. Losing trust fast.",1
review,"Sync conflict destroyed my shopping list, no way to recover it. This is unacceptable.",2
review,The mobile app keeps losing my data when I sync between devices. Losing trust fast.,2
